month,campus,campus_weight,allocated_spend,target_leads,target_appointments,target_demos,target_enrollments
Apr 26,Campus 11,0.045455,93600.0,234.5232,11.9705,4.7882,1.4365
Apr 26,Campus 12,0.045455,93600.0,234.5232,11.9705,4.7882,1.4365
Apr 26,Campus 13,0.045455,93600.0,234.5232,11.9705,4.7882,1.4365
Apr 26,Campus 14,0.045455,93600.0,234.5232,11.9705,4.7882,1.4365
Apr 26,Campus 15,0.045455,93600.0,234.5232,11.9705,4.7882,1.4365
Apr 26,Campus 16,0.045455,93600.0,234.5232,11.9705,4.7882,1.4365
Apr 26,Campus 17,0.045455,93600.0,234.5232,11.9705,4.7882,1.4365
Apr 26,Campus 18,0.045455,93600.0,234.5232,11.9705,4.7882,1.4365
Apr 26,Campus 19,0.045455,93600.0,234.5232,11.9705,4.7882,1.4365
Apr 26,Campus 20,0.045455,93600.0,234.5232,11.9705,4.7882,1.4365
Apr 26,Campus 21,0.045455,93600.0,234.5232,11.9705,4.7882,1.4365
Apr 26,Campus 22,0.045455,93600.0,234.523,11.9695,4.7878,1.4355
May 26,Campus 1,0.045455,124800.0,319.2121,15.9606,6.3842,1.9153
May 26,Campus 2,0.045455,124800.0,319.2121,15.9606,6.3842,1.9153
May 26,Campus 3,0.045455,124800.0,319.2121,15.9606,6.3842,1.9153
May 26,Campus 4,0.045455,124800.0,319.2121,15.9606,6.3842,1.9153
May 26,Campus 5,0.045455,124800.0,319.2121,15.9606,6.3842,1.9153
May 26,Campus 6,0.045455,124800.0,319.2121,15.9606,6.3842,1.9153
May 26,Campus 7,0.045455,124800.0,319.2121,15.9606,6.3842,1.9153
May 26,Campus 8,0.045455,124800.0,319.2121,15.9606,6.3842,1.9153
May 26,Campus 9,0.045455,124800.0,319.2121,15.9606,6.3842,1.9153
May 26,Campus 10,0.045455,124800.0,319.2121,15.9606,6.3842,1.9153
May 26,Campus 11,0.045455,124800.0,319.2121,15.9606,6.3842,1.9153
May 26,Campus 12,0.045455,124800.0,319.2121,15.9606,6.3842,1.9153
May 26,Campus 13,0.045455,124800.0,319.2121,15.9606,6.3842,1.9153
May 26,Campus 14,0.045455,124800.0,319.2121,15.9606,6.3842,1.9153
May 26,Campus 15,0.045455,124800.0,319.2121,15.9606,6.3842,1.9153
May 26,Campus 16,0.045455,124800.0,319.2121,15.9606,6.3842,1.9153
May 26,Campus 17,0.045455,124800.0,319.2121,15.9606,6.3842,1.9153
May 26,Campus 18,0.045455,124800.0,319.2121,15.9606,6.3842,1.9153
May 26,Campus 19,0.045455,124800.0,319.2121,15.9606,6.3842,1.9153
May 26,Campus 20,0.045455,124800.0,319.2121,15.9606,6.3842,1.9153
May 26,Campus 21,0.045455,124800.0,319.2121,15.9606,6.3842,1.9153
May 26,Campus 22,0.045455,124800.0,319.2126,15.9607,6.3851,1.9147
Jun 26,Campus 1,0.045455,171600.0,438.9167,21.9458,8.7783,2.6335
Jun 26,Campus 2,0.045455,171600.0,438.9167,21.9458,8.7783,2.6335
Jun 26,Campus 3,0.045455,171600.0,438.9167,21.9458,8.7783,2.6335
Jun 26,Campus 4,0.045455,171600.0,438.9167,21.9458,8.7783,2.6335
Jun 26,Campus 5,0.045455,171600.0,438.9167,21.9458,8.7783,2.6335
Jun 26,Campus 6,0.045455,171600.0,438.9167,21.9458,8.7783,2.6335
Jun 26,Campus 7,0.045455,171600.0,438.9167,21.9458,8.7783,2.6335
Jun 26,Campus 8,0.045455,171600.0,438.9167,21.9458,8.7783,2.6335
Jun 26,Campus 9,0.045455,171600.0,438.9167,21.9458,8.7783,2.6335
Jun 26,Campus 10,0.045455,171600.0,438.9167,21.9458,8.7783,2.6335
Jun 26,Campus 11,0.045455,171600.0,438.9167,21.9458,8.7783,2.6335
Jun 26,Campus 12,0.045455,171600.0,438.9167,21.9458,8.7783,2.6335
Jun 26,Campus 13,0.045455,171600.0,438.9167,21.9458,8.7783,2.6335
Jun 26,Campus 14,0.045455,171600.0,438.9167,21.9458,8.7783,2.6335
Jun 26,Campus 15,0.045455,171600.0,438.9167,21.9458,8.7783,2.6335
Jun 26,Campus 16,0.045455,171600.0,438.9167,21.9458,8.7783,2.6335
Jun 26,Campus 17,0.045455,171600.0,438.9167,21.9458,8.7783,2.6335
Jun 26,Campus 18,0.045455,171600.0,438.9167,21.9458,8.7783,2.6335
Jun 26,Campus 19,0.045455,171600.0,438.9167,21.9458,8.7783,2.6335
Jun 26,Campus 20,0.045455,171600.0,438.9167,21.9458,8.7783,2.6335
Jun 26,Campus 21,0.045455,171600.0,438.9167,21.9458,8.7783,2.6335
Jun 26,Campus 22,0.045455,171600.0,438.916,21.9465,8.779,2.6335
Jul 26,Campus 1,0.045455,124800.0,306.4436,15.9606,6.3842,1.9153
Jul 26,Campus 2,0.045455,124800.0,306.4436,15.9606,6.3842,1.9153
Jul 26,Campus 3,0.045455,124800.0,306.4436,15.9606,6.3842,1.9153
Jul 26,Campus 4,0.045455,124800.0,306.4436,15.9606,6.3842,1.9153
Jul 26,Campus 5,0.045455,124800.0,306.4436,15.9606,6.3842,1.9153
Jul 26,Campus 6,0.045455,124800.0,306.4436,15.9606,6.3842,1.9153
Jul 26,Campus 7,0.045455,124800.0,306.4436,15.9606,6.3842,1.9153
Jul 26,Campus 8,0.045455,124800.0,306.4436,15.9606,6.3842,1.9153
Jul 26,Campus 9,0.045455,124800.0,306.4436,15.9606,6.3842,1.9153
Jul 26,Campus 10,0.045455,124800.0,306.4436,15.9606,6.3842,1.9153
