month,campus,source,source_spend_pct_month,allocated_spend,target_leads,target_bookings,target_appointments,target_demos,target_enrollments
Apr 26,Indore-MediCaps,Meta,0.55,185130.0,500.94,2.5047,20.8725,8.349,2.5047
Apr 26,Kolkata-TechnoIndia,Google,0.45,100980.0,182.16,1.3662,11.385,4.554,1.3662
Apr 26,Kolkata-TechnoIndia,Meta,0.55,123420.0,333.96,1.6698,13.915,5.566,1.6698
Apr 26,Pune-ADYPatil,Google,0.45,100980.0,182.16,1.3662,11.385,4.554,1.3662
Apr 26,Pune-ADYPatil,Meta,0.55,123420.0,333.96,1.6698,13.915,5.566,1.6698
Apr 26,Bengaluru-Presidency,Google,0.45,80784.0,145.728,1.093,9.108,3.6432,1.093
Apr 26,Bengaluru-Presidency,Meta,0.55,98736.0,267.168,1.3358,11.132,4.4528,1.3358
Apr 26,Bangalore-Yenepoya,Google,0.45,25245.0,45.54,0.3416,2.8463,1.1385,0.3416
Apr 26,Bangalore-Yenepoya,Meta,0.55,30855.0,83.49,0.4175,3.4788,1.3915,0.4175
Apr 26,Chennai-AMET,Google,0.45,111078.0,200.376,1.5028,12.5235,5.0094,1.5028
Apr 26,Chennai-AMET,Meta,0.55,135762.0,367.356,1.8368,15.3065,6.1226,1.8368
Apr 26,Hyderabad-MNR,Google,0.45,176715.0,318.78,2.3909,19.9238,7.9695,2.3909
Apr 26,Hyderabad-MNR,Meta,0.55,215985.0,584.43,2.9222,24.3513,9.7405,2.9222
Apr 26,Gurugram-KRMangalam,Google,0.45,100980.0,182.16,1.3662,11.385,4.554,1.3662
Apr 26,Gurugram-KRMangalam,Meta,0.55,123420.0,333.96,1.6698,13.915,5.566,1.6698
Apr 26,Jalandhar-LPU,Google,0.45,111078.0,200.376,1.5028,12.5235,5.0094,1.5028
Apr 26,Jalandhar-LPU,Meta,0.55,135762.0,367.356,1.8368,15.3065,6.1226,1.8368
Apr 26,Dehradun-DBS,Google,0.45,30294.0,54.648,0.4099,3.4155,1.3662,0.4099
Apr 26,Dehradun-DBS,Meta,0.55,37026.0,100.188,0.5009,4.1745,1.6698,0.5009
Apr 26,Hyderabad-SMRU,Google,0.45,116127.0,209.484,1.5711,13.0928,5.2371,1.5711
Apr 26,Hyderabad-SMRU,Meta,0.55,141933.0,384.054,1.9203,16.0023,6.4009,1.9203
Apr 26,Bengaluru-GHAcademy,Google,0.45,70686.0,127.512,0.9563,7.9695,3.1878,0.9563
Apr 26,Bengaluru-GHAcademy,Meta,0.55,86394.0,233.772,1.1689,9.7405,3.8962,1.1689
Apr 26,Mysuru-BIMS,Google,0.45,50490.0,91.08,0.6831,5.6925,2.277,0.6831
Apr 26,Mysuru-BIMS,Meta,0.55,61710.0,166.98,0.8349,6.9575,2.783,0.8349
Apr 26,Hubli-SCNursing,Google,0.45,50490.0,91.08,0.6831,5.6925,2.277,0.6831
Apr 26,Hubli-SCNursing,Meta,0.55,61710.0,166.98,0.8349,6.9575,2.783,0.8349
Apr 26,Mumbai-SkillTech,Google,0.45,75735.0,136.62,1.0247,8.5388,3.4155,1.0247
